Recorder,Date,Site,Host,Replicate,Host_spp,Host_size,Diatom_species,Diatom_genus,Density 
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP3,Laminaria pallida,Juvenile,Nagumoea,Nagumoea,3
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB2LP3,Laminaria pallida,Juvenile,Rhoicosphenia,Rhoicosphenia,5
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB3LP1,Laminaria pallida,Juvenile,NA,NA,NA
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB3LP2,Laminaria pallida,Juvenile,NA,NA,NA
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB3LP3,Laminaria pallida,Juvenile,Gomphonema1,Gomphonema,5
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB3LP3,Laminaria pallida,Juvenile,Gomphonema2,Gomphonema,3
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB3LP3,Laminaria pallida,Juvenile,Licmophora,Licmophora,2
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB3LP3,Laminaria pallida,Juvenile,Nagumoea,Nagumoea,2
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB3LP3,Laminaria pallida,Juvenile,Navicula1,Navicula,3
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB3LP3,Laminaria pallida,Juvenile,Opephora,Opephora,3
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP1,Laminaria pallida,Juvenile,Cocconeis2,Cocconeis,9
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP1,Laminaria pallida,Juvenile,Cylindrotheca ,Cylindrotheca,3
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP1,Laminaria pallida,Juvenile,Gomphonema4,Gomphonema,163
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP1,Laminaria pallida,Juvenile,Nagumoea,Nagumoea,56
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP1,Laminaria pallida,Juvenile,Navicula,Navicula,8
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP1,Laminaria pallida,Juvenile,Nitzschia6,Nitzschia,18
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP1,Laminaria pallida,Juvenile,Opephora,Opephora,8
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP1,Laminaria pallida,Juvenile,Parlibellus,Parlibellus,1
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP1,Laminaria pallida,Juvenile,Rhoicosphenia,Rhoicosphenia,6
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP1,Laminaria pallida,Juvenile,Tabularia,Tabularia,2
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP2,Laminaria pallida,Juvenile,Navicula1,Navicula,1
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP3,Laminaria pallida,Juvenile,Cocconeis3,Cocconeis,3
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP3,Laminaria pallida,Juvenile,Craspedostauros,Craspedostauros,3
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP3,Laminaria pallida,Juvenile,Cylindrotheca ,Cylindrotheca,2
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP3,Laminaria pallida,Juvenile,Gomphonema1,Gomphonema,3
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP3,Laminaria pallida,Juvenile,Gomphonema2,Gomphonema,5
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP3,Laminaria pallida,Juvenile,Gomphonema3,Gomphonema,12
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP3,Laminaria pallida,Juvenile,Gomphonema4,Gomphonema,2
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP3,Laminaria pallida,Juvenile,Gomphonema5,Gomphonema,2
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP3,Laminaria pallida,Juvenile,Licmophora,Licmophora,2
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP3,Laminaria pallida,Juvenile,Nagumoea,Nagumoea,4
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP3,Laminaria pallida,Juvenile,Navicula1,Navicula,4
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP3,Laminaria pallida,Juvenile,Opephora,Opephora,5
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP3,Laminaria pallida,Juvenile,Parlibellus,Parlibellus,4
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP3,Laminaria pallida,Juvenile,Rhoicosphenia,Rhoicosphenia,3
Mayombo,24-Jul-17,False Bay,L_pal_J,JPB4LP3,Laminaria pallida,Juvenile,Tabularia,Tabularia,6
