Recorder,Date,Site,Host,Replicate,Host_spp,Host_size,Species,Genus,Density 
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB1LP1,Laminaria pallida,Juvenile,Gomphoseptatum sp1,Gomphoseptatum,3
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB1LP1,Laminaria pallida,Juvenile,Tabularia sp,Tabularia,3
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB1LP2,Laminaria pallida,Juvenile,NA,NA,NA
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB1LP3,Laminaria pallida,Juvenile,NA,NA,NA
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP1,Laminaria pallida,Juvenile,Cocconeis sp1,Cocconeis,4
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP1,Laminaria pallida,Juvenile,Cocconeis sp2,Cocconeis,3
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP1,Laminaria pallida,Juvenile,Cocconeis sp3,Cocconeis,2
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP1,Laminaria pallida,Juvenile,Cocconeis sp4,Cocconeis,4
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP1,Laminaria pallida,Juvenile,Gomphoseptatum sp1,Gomphoseptatum,5
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP1,Laminaria pallida,Juvenile,Gomphoseptatum sp2,Gomphoseptatum,6
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP1,Laminaria pallida,Juvenile,Gomphoseptatum sp4,Gomphoseptatum,2
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP1,Laminaria pallida,Juvenile,Licmophora sp,Licmophora,1
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP1,Laminaria pallida,Juvenile,Nagumoea sp,Nagumoea,3
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP1,Laminaria pallida,Juvenile,Navicula sp1,Navicula,5
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP1,Laminaria pallida,Juvenile,Nitzschia sp1,Nitzschia,1
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP2,Laminaria pallida,Juvenile,Cocconeis sp1,Cocconeis,2
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP2,Laminaria pallida,Juvenile,Cocconeis sp2,Cocconeis,5
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP2,Laminaria pallida,Juvenile,Gomphoseptatum sp1,Gomphoseptatum,9
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP2,Laminaria pallida,Juvenile,Gomphoseptatum sp2,Gomphoseptatum,4
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP2,Laminaria pallida,Juvenile,Nagumoea sp,Nagumoea,4
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP2,Laminaria pallida,Juvenile,Navicula sp1,Navicula,3
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP2,Laminaria pallida,Juvenile,Rhoicosphenia sp,Rhoicosphenia,2
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP2,Laminaria pallida,Juvenile,Tabularia sp,Tabularia,4
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP3,Laminaria pallida,Juvenile,Amphora sp1,Amphora,2
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP3,Laminaria pallida,Juvenile,Cocconeis sp2,Cocconeis,3
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP3,Laminaria pallida,Juvenile,Gomphoseptatum sp4,Gomphoseptatum,8
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP3,Laminaria pallida,Juvenile,Licmophora sp,Licmophora,1
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP3,Laminaria pallida,Juvenile,Nagumoea sp,Nagumoea,3
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB2LP3,Laminaria pallida,Juvenile,Rhoicosphenia sp,Rhoicosphenia,5
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB3LP1,Laminaria pallida,Juvenile,NA,NA,NA
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB3LP2,Laminaria pallida,Juvenile,NA,NA,NA
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB3LP3,Laminaria pallida,Juvenile,Gomphoseptatum sp1,Gomphoseptatum,5
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB3LP3,Laminaria pallida,Juvenile,Gomphoseptatum sp2,Gomphoseptatum,3
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB3LP3,Laminaria pallida,Juvenile,Licmophora sp,Licmophora,2
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB3LP3,Laminaria pallida,Juvenile,Nagumoea sp,Nagumoea,2
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB3LP3,Laminaria pallida,Juvenile,Navicula sp1,Navicula,3
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB3LP3,Laminaria pallida,Juvenile,Tabularia sp,Tabularia,3
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP1,Laminaria pallida,Juvenile,Cocconeis sp2,Cocconeis,9
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP1,Laminaria pallida,Juvenile,Cylindrotheca sp,Cylindrotheca,3
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP1,Laminaria pallida,Juvenile,Gomphoseptatum sp4,Gomphoseptatum,163
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP1,Laminaria pallida,Juvenile,Nagumoea sp,Nagumoea,56
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP1,Laminaria pallida,Juvenile,Navicula sp1,Navicula,8
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP1,Laminaria pallida,Juvenile,Nitzschia sp4,Nitzschia,18
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP1,Laminaria pallida,Juvenile,Parlibellus sp,Parlibellus,1
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP1,Laminaria pallida,Juvenile,Rhoicosphenia sp,Rhoicosphenia,6
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP1,Laminaria pallida,Juvenile,Tabularia sp,Tabularia,10
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP2,Laminaria pallida,Juvenile,Navicula sp1,Navicula,1
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP3,Laminaria pallida,Juvenile,Cocconeis sp3,Cocconeis,3
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP3,Laminaria pallida,Juvenile,Craspedostauros sp,Craspedostauros,3
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP3,Laminaria pallida,Juvenile,Cylindrotheca sp,Cylindrotheca,2
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP3,Laminaria pallida,Juvenile,Gomphoseptatum sp1,Gomphoseptatum,3
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP3,Laminaria pallida,Juvenile,Gomphoseptatum sp2,Gomphoseptatum,5
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP3,Laminaria pallida,Juvenile,Gomphoseptatum sp3,Gomphoseptatum,12
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP3,Laminaria pallida,Juvenile,Gomphoseptatum sp4,Gomphoseptatum,2
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP3,Laminaria pallida,Juvenile,Gomphoseptatum sp5,Gomphoseptatum,2
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP3,Laminaria pallida,Juvenile,Licmophora sp,Licmophora,2
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP3,Laminaria pallida,Juvenile,Nagumoea sp,Nagumoea,4
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP3,Laminaria pallida,Juvenile,Navicula sp1,Navicula,4
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP3,Laminaria pallida,Juvenile,Parlibellus sp,Parlibellus,4
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP3,Laminaria pallida,Juvenile,Rhoicosphenia sp,Rhoicosphenia,3
Mayombo,24-Jul-17,False Bay,Juvenile Laminaria pallida,JPB4LP3,Laminaria pallida,Juvenile,Tabularia sp,Tabularia,11
